Text,Boolean Questions
Ontario #CovidVaccine progress💉📈💪🏻  All Ontarians aged 12+ are now eligible to book an appointment to receive their 2nd dose.  Book here! https://t.co/dd7uJqdNs5 #ontariovaccine https://t.co/tnaekxKtzr,"['Is the covid vaccine true or false in ontario?', 'Is it possible to get the covid vaccine in ontario?', 'Can you get the covid vaccine in ontario?']"
,
"Listening to ""The Inevitable COVID ""Olympic Variant"""" at  https://t.co/OOXg3FHWIL","['Is the inevitable covid olympic variation true or false?', 'Is the inevitable covid olympic variant true or false?', 'Is the inevitable covid part of the olympics?']"
,
"If you test positive after taking 1st dose of the #CovidVaccine , should you take the 2nd dose? https://t.co/RAoh71foZk","['Do you have to take 2 doses of covid vaccine?', 'Do you have to take 2nd dose of covid vaccine?', 'Do you have to take the covid vaccine 2 times?']"
,
"JULY 17: #COVID19 in #Ontario  176 cases, 3 deaths, 203 resolved*  21392 tests/day, 6800 pending, 0.6% pos  149 in ICU (109 on ventilator)🏥    +169,103 vaccinations💉  79.3% of age 12+ ≥1 dose💉  (59.8% = 2 doses)  See thread for more graphs📉⤵️  #onhealth #COVID19ontario https://t.co/YDE2Xlnx0C","['Is there a vaccine for covidiosis in canada?', 'Is there a vaccine for covid19 ontario?', 'Is there a vaccine for covid in ontario?']"
,
#COVID19Ontario:   Daily new cases vs. test % positivity in #Ontario  Line = 7 day moving average. #COVIDー19 #onhealth https://t.co/b8TJuXhEcj,"['Is there a moving average for cancer in ontario?', 'Is there a 7 day moving average in ontario?', 'Is there a moving average for ontario line?']"
,
#COVID19Ontario:   Daily new cases vs. test % positivity in #Ontario  Line = 7 day moving average. #COVIDー19 #onhealth https://t.co/mywnHzDc60,"['Is there a false positive for covid in ontario?', 'Is there a false positive for covid19 ontario?', 'Is there a false positive for covid19 ontario?']"
,
More evidence of the astonishing effectiveness of vaccines: 99.5% of Texans who have died from Covid since early February were unvaccinated. https://t.co/eSapDtubmW,"['Is there a vaccine for covid in texas?', 'Has anyone died from covid in texas?', 'Has there ever been a covid vaccine in texas?']"
,
Funding the @Gavi COVAX AMC &amp; sharing doses with #COVAX are among the most effective interventions a country can make to control #COVID19. Today’s AMC summit will welcome world leaders as they come together &amp; commit to be part of this global solution: https://t.co/pop3zMYN24,"['Is there a cure for covax in india?', 'Is there a world without covax?', 'Is there an effective way to combat covax?']"
,
"Kamala Harris: ""Superheroes are not just in your imagination. They are nurses and doctors and scientists. They are vaccine makers.""","['Is there such thing as a super hero?', 'Are superheroes not just in your imagination?', 'Is a super hero not just in your imagination?']"
,
RT @VincentRK: Yes. Immunocompromised patients need testing and boosters.     But we are stuck in a stalemate: Someone needs to be bold and m…,"['Is there such a thing as an immunization?', 'Is there a cure for immunodeficiency?', 'Is there such a thing as an immunocompromised patient?']"
,
"@SiddhantTomar10 Sorry for your loss. Could be that he contacted virus at vaccination centre. The ability to fight the infection is affected by level of immunity &amp; past medical history so every1 has different response to vaccine. Do take the vaccine but wear PPE kit, mask, shield in the centre.","['Is there a difference between true and false immunity?', 'Is there a difference between true or false immunity?', 'Does everyone get the same vaccine every time?']"
,
"An estimated 1.4 million fewer people received care for TB in 2020 than in 2019, suggest data from over 80 countries compiled by WHO. Join us today on MEDtalks with Dr K K Aggarwal at 7:00 PM as we discuss about rapid diagnosis to tackle the TB menace. #WorldTuberclosisDay https://t.co/DByd1DMWnA","['Is there a cure for tuberculosis?', 'Is there a cure for tb in india?', 'Is there a cure for tb in the world?']"
,
"101/ In addition, this study found no generation of long-lived plasma cells and memory B-cells among kidney transplant recipients. Multiple parts of the immune system were affected by immunosuppression.    https://t.co/2erFM1YoLz","['Is there a difference between long lived plasma cells and memory cells?', 'Is there such a thing as memory b cells?', 'Is there such a thing as long lived plasma cells?']"
,
"And btw, two hours post Moderna vaccine, I feel PERFECTLY fine. Not a single side effect.","['Is there a side effect of moderna vaccine?', 'Is the moderna vaccine true or false?', 'Is there a side effect of the moderna vaccine?']"
,
"Delta is likely to drive substantial increases in cases, hospitalizations, and deaths in places with low vaccination rates in the US, and sporadic increases even in some places with high vaccination rates – all among the unvaccinated.","['Is there such a thing as delta vaccination?', 'Is there such a thing as delta in the us?', 'Is there such a thing as delta fever?']"
,
#headache is very common during/ post #COVID19 It can be due to various reasons and mostly responds to Mefenamic acid. Ask your doctor for appropriate medication if the headache persists. https://t.co/YdsENcva8e,"['Is it possible to have a headache after covid?', 'Is it possible to have a headache after covid?', 'Is it possible to get a headache after covid?']"
,
"26/ In the germinal centers, some of these B-cells become plasmablasts (precursors to plasma cells), migrate to the bone marrow, and differentiate into LONG-LIVED PLASMA CELLS. https://t.co/2xoDofNLM1","['Is there such a thing as long lived plasma cells?', 'Is there such thing as long lived plasma cells?', 'Is there a difference between b cells and plasma cells?']"
,
"#Sputnikvaccine sera neutralize B.1.351 in a *qualitatively* different manner. Neutralization phenotypes can be represented in the landscape of slope vs relative IC50 (WT:VOC) values, just as we had done for HIV broadly neut MAbs (PMID: 26416571) (4/4) https://t.co/t6NidaquSm","['Does sputnikvaccine neutralize b.1.351?', 'Does the sputnik vaccine neutralize b.1.351?', 'Is there a difference between positive and negative effects of sputnik vaccine?']"
,
6) maybe pushing anti vax messages to conservatives in the South is kinda bad? 🤷🏻‍♂️ https://t.co/jRExY1xJlO,"['Is the anti vax message true or false?', 'Is there such a thing as anti vax?', 'Is it true that the anti vax message is false?']"
,
@Griffith17431 @TofuForBrains Vaccination reduces the risk of infection. Therefore it reduces the overall risk of long COVID. You won't get long COVID if you never get acute COVID to begin with.,"['Is there such a thing as acute covid?', 'Is there such a thing as acute covid?', 'Do you have to get vaccinated against covid?']"
,
Death demographics: 3 new deaths  &lt;19: 0  20-39: 0  40-59: 1  60-79: 1  80+: 1    https://t.co/iTZw1sLmSr https://t.co/lRrQVOj1Qe,"['Is there a difference in age between 60 and 99?', 'Is there a difference in age between 50 and 70?', 'Is there a new death rate every year?']"
,
"12) “Our observation suggested that BNT162b2 protected from severe COVID-19. However, this single unexpected outbreak in a small and isolated vaccinated population requires further real-life studies on BNT162b2 vaccine effectiveness against the VOC Gamma.","['Is the bnt162b2 vaccine effective against covid-19?', 'Is the bnt162b2 vaccine effective against vcg?', 'Is the bnt162b2 vaccine effective against covid-19?']"
,
"Did you get infected with coronavirus after taking the vaccine?  Join us for a special session this Friday, 16th April 2021, 08:00 am onwards   Join Zoom Meeting https://t.co/YsAW5GuhNA  Meeting ID: 841 4731 1677  Watch the show live on https://t.co/yGKyu4uWQS https://t.co/Vbyz15FM8A","['Is the coronavirus vaccine true or false?', 'Is there a cure for coronavirus?', 'Is there a vaccine for coronavirus?']"
,
@Nutmeg031992 @RHPeel Yeah. You can see Rt of Alpha drop from March to May. I was assuming much of this decline was the vaccine rollout however. https://t.co/W0LTkywg2q,"['Is there a drop in rt of alpha?', 'Does the rt of alpha drop from march to may?', 'Is there a decline in rt of alpha?']"
,
"8) is the #DeltaVariant surge somehow surprising? No! If only someone was trying to warn 2 months ago to pay attention to Delta (aka #B16172 as it was known then), as hospitalizations were rising then in UK 🇬🇧… I hate this shit. Pardon my french. https://t.co/pjdWc7E1q3","['Is delta and deltaariant the same thing?', 'Is delta the same as delta virginia?', 'Is delta and delta ariant the same thing?']"
,
"The first few days are very important in #COVID19 for a speedy, healthy recovery. Keep an eye on your CRP level for the first 10 days. https://t.co/Re2GuL7ujU","['Is the first 10 days of covid true or false?', 'Is the first 10 days of covid true or false?', 'Is the first 10 days of covid good?']"
,
"In the UK and some of the European countries they sequence the virus routinely and we can see the virus changing. We sequence much less in the US, so our knowledge of the virus strains here is less. https://t.co/oOg9rqHEJ1","['Is the swine flu virus the same in every country?', 'Is the swine flu virus the same in all countries?', 'Is there a virus that can change from one strain to another?']"
,
"There are still many challenges ahead, but this forecast is encouraging given the supply disruptions COVAX and countries with bilateral deals are currently experiencing. Read @AureliaFNguyen’s article for futher analysis: https://t.co/zGhQ2wCjTM","['Is there a trade war in the middle east?', 'Is there a trade deal between the us and china?', 'Is there a trade deal in the middle east?']"
,
"9/n Turning away from virology, where does one get an assessment of the oxygen situation in the worst affected States ?","['Is it possible to breathe oxygen in the worst affected states?', 'Is it possible to get oxygen in the worst affected states?', 'Is it possible to breathe oxygen in the worst affected countries?']"
,
"Many new strains circulating that cause concern. Vaccination in underserved populations is a HUGE problem. Meanwhile, people cavorting in bars. Please... let's not be cavalier about this.","['Is it safe to drink alcohol in bars?', 'Is it illegal to drink in bars?', 'Is it safe to drink in bars?']"
,
"Nursing COVId 19 update on �Topic : ""Aspects of COVID19 Vaccination� 47/1836 https://t.co/X5AD6m2qUf","['Is there a vaccine for covid 19?', 'Is there such thing as covid 19 vaccination?', 'Is there a cure for covid 19?']"
,
"As described in @TheAtlantic piece by Dr. @Ryan_Mac_Phd, vaccines are not a magical shield that always prevents a viral infection. They are, however, very effective at rapidly clearing infections before they can take hold. Most breakthrough infections are likely abortive. https://t.co/GLiY0RayYr","['Is there such thing as a vaccine?', 'Is a vaccine the only way to prevent an infection?', 'Is there such a thing as an antiviral vaccine?']"
,
"We need more innovations in #TB treatment resulting in shorter, patient friendly treatment regimens effective against all forms of TB. @WHO puts out a position paper on new clinical trial designs to help developers and researchers @ICMRDELHI @MRCza https://t.co/NiOkZECyk5","['Is there a cure for tb in india?', 'Is there such thing as a cure for tb?', 'Is there such a thing as tb treatment?']"
,
"18) also if we look at just the elderly age 60+ (stratification is one form of adjustment in epidemiology), we still see the jump up among the January vaccinated even among these elderly. This implies this is an effect by time (stratified adjusted roughly for age), not just age. https://t.co/Z6EoPiYRjj","['Is there a jump in vaccination among the elderly?', 'Can you get vaccinated at any age?', 'Is it possible to get vaccinated at 60 years old?']"
,
RT @DrEricDing: History will remember all the misinformation and disinformation bad actors during the pandemic. And many one certain networ…,"['Is there a cure for the pandemic?', 'Has there ever been a pandemic like the flu?', 'Has there ever been a pandemic?']"
,
"No medical experience is needed. Energy, motivation and hard work. Please circulate ! It's time to get this vaccine out to people's arms. Email info@compositeapps.net","['Do you have to be a doctor to get the vaccinated?', 'Do you need a medical degree to get the vaccinated?', 'Do you need to be a doctor to get the vaccinated?']"
,
#COVAX no fault compensation program is a world’s first. People in lower-income countries now have a robust &amp; fast way 2get fair compensation in the rare event of vaccine adverse reactions. Grt explainer on how this could offer a model 4 future pandemics: https://t.co/T6xgdVAWhs,"['Is there a no fault compensation program for vaccines?', 'Is there a no fault compensation program for vaccine adverse reactions?', 'Is there a no fault compensation program?']"
,
Evolution of Healthcare systems post-COVID - Crystal ball gazing https://t.co/fvTFftMixd,"['Is there such a thing as crystal ball gazing?', 'Is there such thing as a crystal ball?', 'Is there such thing as crystal ball gazing?']"
,
3. Transport oxygen by airlift or train if possible. Start refitting industrial plants for medical oxygen.     4. Rely on other countries to stopgap while the supplies are low. Release customs barriers ASAP.,"['Do you have to fly to get oxygen?', 'Do you have to go to europe to get oxygen?', 'Do you have to go to the airport to get oxygen?']"
,
"Still confused and concerned about the Michigan spike, and would love any perspective on it. New variants? Lack of vaccine penetration? Thoughts ? https://t.co/iydTOZesZL","['Is there a vaccine for minneapolis spike?', 'Is there a vaccine for minneapolis?', 'Is there a vaccine for michigan spike?']"
,
Effectiveness of vaccination at protecting against death from Covid – close to 100%.    Effectiveness of vaccine at protecting against death from Covid if not given – exactly 0%.,"['Is the covid vaccine effective if not given?', 'Is there a chance of dying from covid?', 'Does the covid vaccine have any effect on the death penalty?']"
,
"*Cases under-reported: Not all infected persons tested. Cases after 1pm yesterday not included until tmr's count.    ""Resolved"" = 14d after symptom onset if not hospitalized/deceased, not accounting for complications.  Source: https://t.co/9UBjYKWgQ7","['Is there such a thing as an infected person?', 'Is there a difference between true and false?', 'Is there a chance of being infected?']"
,
"In the U.K., we continue to see a decoupling between cases and hospitalizations and deaths when compared to other epidemic waves, as more of the most vulnerable are protected through vaccines; and an indication that cases may be peaking as Delta wave runs it’s course in the U.K. https://t.co/zSRj02kvCk","['Is there a delta wave in the uk?', 'Is there such thing as a delta wave?', 'Is there a dip wave in the uk?']"
,
"3) We have run out of options with gentle carrot incentives for vaccinations. If we want to avoid mass hospitalizations, deaths, and a generation of #LongCovid, we will need to think about vaccine passports. https://t.co/TNZRg7iYA6","['Is it possible to get a vaccinated passport?', 'Do you need a passport to get vaccinated?', 'Is it possible to get a vaccination passport?']"
,
"In case you missed it, a very clear distillation of what we know and do not know. SHORT VERSION: GET VACCINATED.   https://t.co/hQLuQdhGKA","['Is there a difference between true and false?', 'Is there such thing as a short version?', 'Is there a short version of the bible?']"
,
"8 of 12 #Sputnikvaccine sera showed a failure to neutralize B.1.351 even at undiluted [serum]: Example dose-response curves below (A, B and D).   SP012 had NO neut activity against WT, B.1.351, E484K, but neutralized B.1.1.7 well! (3/n) https://t.co/WDJmPzNV6A","['Is sputnikvaccine against wt and e484k?', 'Is sputnikvaccine able to neutralize b.1.351?', 'Does sputnikvaccine work against wt and e484k?']"
,
"For those who say that we shouldn't help those who choose 2 not get vaccinated: people do a lot of dumb things &amp; we treat them anyway. Car accidents, people who thought they could jump over a wall, OD's, etc.  We don't judge who deserves our help. But please #GetVaccinated","['Is it illegal to not get vaccinated?', 'Is it ok to not get vaccinated?', 'Is it legal to not get vaccinated?']"
,
Does mutation of coronavirus mean change of treatment for the disease?  #COVID19 https://t.co/owuADCzpZv,"['Does a coronavirus mutation change the course of the disease?', 'Is there a cure for coronavirus?', 'Is there a cure for coronavirus mutation?']"
,
"4) Now that aerosol transmission of the coronavirus is established, we need to disperse aerosols quickly. Key is ventilation. Here is how to ventilate your school classrooms or indoor environment if unable to open window. #COVID19 https://t.co/ZiOdMG2GPs","['Is there such a thing as coronavirus?', 'Can you get coronavirus from aerosols?', 'Is it possible to get coronavirus from windows?']"
,
"Ontario: Daily new #COVID19 cases, deaths, resolved with 7 day averages from Feb 1, 2021. #COVID19Ontario     7 day average: 151  Total active cases: 1373📉 https://t.co/FsfDIzITrw","['Is there a cure for covid19 in ontario?', 'Is there a cure for covid in ontario?', 'Is there still a covid in ontario?']"
,
"2) “I would have gone through this (still get hospitalized), don’t shove it down my throat”… 🤦🏻‍♂️","['Is there such a thing as being in the hospital?', 'Is there such a thing as being hospitalized?', 'Is it possible to be in the hospital?']"
,
"The worst is over in the US, but, on average, 200-300 people are still dying every day from a disease that didn't exist 18 months ago. If that rate continues for the next 12 months, that would be 100,000 deaths—more, even, than from the horrific opiate epidemic. 16/","['Is the opiate epidemic the worst in the world?', 'Is there such a thing as an opiate epidemic?', 'Is there a cure for the opiate epidemic?']"
,
Should pregnant women be given the #COVIDvaccine ? What does the current evidence say? Join us today on Medtalks with Dr KK Aggarwal at 7:00 pm as we attempt to find an answer to these questions from @drhrishikeshpai . Visit https://t.co/yGKyu4uWQS https://t.co/6Y0IWzmaQr,"['Is there a difference between covi vaccine and cov vaccine?', 'Is it true that pregnant women should be given covi vaccine?', 'Is it true that pregnant women should be given the covi vaccine?']"
,
"My kidneys have failed, how do I change them Medtalks with Dr KK Dr Pratim Sengupta 2… https://t.co/3dKBc5UMDZ","['Is it true that my kidneys have failed?', 'Is there such thing as a kidney failure?', 'Is it true that my kidneys are failing?']"
,
"Avoid alcohol consumption 1 week before and after taking the vaccine.  —————— Disclaimer: Dr KK is recovering from COVID-19, meanwhile this account is being managed by HCFI &amp; Medtalks. https://t.co/uZtP3xXVST","['Is there alcohol in the hcf vaccine?', 'Is there alcohol in the flu vaccine?', 'Is there alcohol in the vaccination vaccine?']"
,
"@WesPegden @BallouxFrancois I see now. Very interesting. I'm not aware of great data on relative susceptibility vs infectiousness in children. Though I might assume the converse where children get infected less often but transmit when they do get infected, just based on Ct (https://t.co/GcYDnHhPLz).","['Is it possible for a child to get infected?', 'Is it possible to get infected more often than not?', 'Is it possible for a child to be infected?']"
,
@mcw0530 @BNODesk Because it's not just about keeping you safe but those around you as well. Companies have the right to protect their customers. You have the right not to do business with companies you don't like.,"[""Do you have the right to do business with companies you don't like?"", 'Do you have the right to do business with a company?', 'Is it legal to do business with a company?']"
,
